"race","driver1_name","driver1_avg_lap_ms","driver1_avg_stddev_ms","driver1_lap_cv","driver2_name","driver2_avg_lap_ms","driver2_avg_stddev_ms","driver2_lap_cv","cv_diff"
"Qatar Grand Prix","Verstappen","89372.175438596491","6822.781128382658","0.07634122247667873925","Pérez","90013.631578947368","5028.919316000417","0.05586841934701581658","-0.02047280312966292267"
"Qatar Grand Prix","Russell","92481.981818181818","8985.518224283036","0.09715966340284996664","Latifi","91196.620000000000","3817.553938995867","0.04186069548406363087","-0.05529896791878633577"
"Russian Grand Prix","Verstappen","103665.509433962264","6231.579367107759","0.06011236911035915722","Pérez","104359.943396226415","9181.907453111452","0.08798306279498675510","0.02787069368462759788"
"Russian Grand Prix","Hamilton","102660.396226415094","6171.867428220080","0.06011926366043017472","Bottas","103934.603773584906","5616.828677971030","0.05404195016904036338","-0.00607731349138981134"
"Russian Grand Prix","Russell","104557.584905660377","7047.744141087226","0.06740538381262559284","Latifi","103434.340425531915","6407.962123580577","0.06195197936408771577","-0.00545340444853787707"
"Russian Grand Prix","Sainz","103839.169811320755","7177.193944217843","0.06911836792666047385","Leclerc","105743.461538461538","15589.86789296","0.14743103418540517209","0.07831266625874469824"
"Russian Grand Prix","Ricciardo","103898.264150943396","7302.015910141484","0.07028044183234009990","Norris","104306.132075471698","13885.52760422","0.13312283111191386038","0.06284238927957376048"
"Russian Grand Prix","Stroll","104664.132075471698","8589.054481493686","0.08206301730281631477","Vettel","104658.769230769231","9897.945048392392","0.09457348983884704852","0.01251047253603073375"
"Russian Grand Prix","Giovinazzi","106221.403846153846","12176.06934751","0.11462915106210848077","Räikkönen","104338.792452830189","6567.737461252691","0.06294626674179552639","-0.05168288432031295438"
"Russian Grand Prix","Gasly","105342.673076923077","12480.31741477","0.11847352122588205261","Tsunoda","106586.307692307692","11793.89302677","0.11065110784038504040","-0.00782241338549701221"
"Russian Grand Prix","Ocon","105591.230769230769","13188.34962637","0.12490004643655577486","Alonso","104194.754716981132","8309.454070991067","0.07974925507106006338","-0.04515079136549571148"
"São Paulo Grand Prix","Russell","80013.414285714286","11125.91022102","0.13905056196316367617","Latifi","80166.614285714286","11656.97534948","0.14540935092923434588","0.00635878896607066971"
"São Paulo Grand Prix","Giovinazzi","80048.757142857143","11937.85888291","0.14913234519813192397","Räikkönen","79627.700000000000","11686.75110176","0.14676740759509567650","-0.00236493760303624747"
